pelvis_x,pelvis_y,pelvis_z,right_thigh_x,right_thigh_y,right_thigh_z,left_thigh_x,left_thigh_y,left_thigh_z,right_shin_x,right_shin_y,right_shin_z,left_shin_x,left_shin_y,left_shin_z,right_foot_x,right_foot_y,right_foot_z,left_foot_x,left_foot_y,left_foot_z
2.576362,-0.025995921,0.8539531,2.5660238,-0.10953758,0.8648946,2.5866997,0.057545774,0.84301174,2.669973,-0.119148806,0.4564791,2.4965682,0.010746757,0.43388194,2.646548,-0.12553796,0.04732898,2.0950902,0.054109707,0.36367813
2.6195362,-0.02659335,0.855757,2.6079192,-0.109595805,0.8692268,2.6311529,0.056409135,0.8422873,2.6926367,-0.12303744,0.4565003,2.5626016,0.0017831549,0.42995527,2.6455314,-0.12782848,0.049374465,2.158448,0.051074214,0.38279903
2.6632006,-0.028777454,0.85654813,2.65105,-0.11124777,0.87257326,2.6753516,0.053692855,0.84052306,2.7030532,-0.1255665,0.4544923,2.6356792,-0.0012277476,0.42445725,2.6452675,-0.12887923,0.048729725,2.2290716,0.04413425,0.3998414
2.704196,-0.030118477,0.8563845,2.6920376,-0.11226142,0.8740056,2.7163544,0.052024506,0.8387635,2.715323,-0.12624452,0.4533357,2.709617,-0.0038631,0.42099306,2.6453867,-0.12925687,0.049487755,2.301969,0.03827813,0.41460845
2.7452762,-0.03283732,0.8537146,2.7337563,-0.114679664,0.87307733,2.7567961,0.049005024,0.83435184,2.7238889,-0.12649341,0.45181262,2.7857485,-0.0009467276,0.4167785,2.6453617,-0.12964788,0.04954806,2.3772616,0.03147409,0.42576057
2.7857857,-0.03690914,0.8481021,2.7762957,-0.1183259,0.8701712,2.7952757,0.044507638,0.826033,2.7257788,-0.12562926,0.45172685,2.8657184,0.00462005,0.4123329,2.6454592,-0.12913805,0.049819116,2.456781,0.022064034,0.433766
2.8248737,-0.041133873,0.8390107,2.8168852,-0.122004,0.8635466,2.832862,0.039736256,0.8144749,2.7273667,-0.12556075,0.4516306,2.9483151,0.0139557365,0.4098678,2.6437075,-0.1293644,0.05040746,2.5394611,0.012081199,0.4386447
2.8613005,-0.043854617,0.82914287,2.8528912,-0.1244934,0.854292,2.8697095,0.03678418,0.8039938,2.7434309,-0.12829855,0.44722337,3.035841,0.025460752,0.41673017,2.6411703,-0.13229862,0.050335437,2.626918,0.0076370263,0.43812537
2.8968117,-0.04681039,0.81998557,2.8875823,-0.12729709,0.84533334,2.9060407,0.033676367,0.7946378,2.7607903,-0.13024457,0.44331837,3.1256833,0.04039728,0.4348977,2.6408567,-0.13329186,0.05140011,2.7170568,0.008604143,0.43227974
2.9344862,-0.048893183,0.8130962,2.9253163,-0.12943766,0.8382815,2.943656,0.0316513,0.7879109,2.7798994,-0.13096006,0.4426145,3.2099655,0.0535834,0.4618753,2.6420457,-0.1326034,0.056626055,2.803818,0.015421445,0.42210975
2.9758554,-0.050261177,0.80926925,2.9677184,-0.130997,0.8341955,2.9839923,0.030474644,0.7843431,2.802947,-0.131732,0.44618675,3.2854946,0.0658897,0.49186558,2.645911,-0.13257566,0.067594185,2.8863795,0.025099065,0.40798002
3.0198162,-0.051197622,0.8090773,3.0135639,-0.13216364,0.83379996,3.0260687,0.029768428,0.78435475,2.8306546,-0.13259025,0.4540041,3.3510196,0.07738286,0.52008057,2.651939,-0.13295735,0.0851493,2.964641,0.036116015,0.38968804
3.0658424,-0.051635355,0.812306,3.0621917,-0.13288927,0.8366014,3.069493,0.029618604,0.78801066,2.8618348,-0.1320296,0.46571422,3.408204,0.08611976,0.5435043,2.6680622,-0.13127507,0.10454261,3.0396545,0.049368575,0.36796546
3.1129413,-0.047509708,0.8217953,3.1113436,-0.1294906,0.8437584,3.114539,0.03447119,0.79983217,2.905016,-0.13106823,0.47616178,3.4551728,0.084755376,0.5566429,2.692417,-0.13163581,0.1257411,3.1067142,0.06530452,0.34172037
3.1611822,-0.037973505,0.83650756,3.1598487,-0.121209785,0.8531128,3.1625159,0.045262843,0.8199022,2.9620051,-0.12853159,0.48094988,3.4916553,0.074904546,0.55819726,2.725446,-0.134298,0.14628595,3.165456,0.07908476,0.31006435
3.2075796,-0.03639161,0.8504413,3.2078347,-0.119642,0.8670275,3.207325,0.046858788,0.8338551,3.0330107,-0.12234099,0.4834519,3.5195699,0.0719586,0.55176616,2.7666416,-0.12796323,0.17198889,3.2210023,0.08120096,0.27111438
3.2564676,-0.035449143,0.85864973,3.257493,-0.118926495,0.87402123,3.2554421,0.048028156,0.84327817,3.0956423,-0.11316098,0.48482713,3.5503335,0.07339939,0.54311734,2.8039467,-0.12273661,0.19705066,3.2829328,0.07978659,0.23255423
3.3046374,-0.034443844,0.8633758,3.3069277,-0.117917344,0.8786312,3.3023467,0.049029663,0.8481202,3.1586168,-0.106966086,0.4841887,3.5784957,0.071690746,0.53042674,2.8438563,-0.11756779,0.22187825,3.3465514,0.083700486,0.19271255
3.35332,-0.033055194,0.8652423,3.3562095,-0.11669757,0.8794337,3.35043,0.050587222,0.8510509,3.2238984,-0.098517895,0.47960356,3.6015732,0.07071479,0.5130821,2.8871553,-0.111031264,0.24627787,3.4101942,0.08310768,0.15084767
3.4017038,-0.030583043,0.8638078,3.4047139,-0.114583805,0.8756658,3.3986936,0.05341772,0.8519498,3.2919843,-0.089236416,0.47026402,3.6176977,0.06941838,0.4921136,2.9337661,-0.10222504,0.27150732,3.475454,0.0794251,0.10784824
3.4503422,-0.027700733,0.8582973,3.4532962,-0.11209226,0.8669657,3.4473882,0.056690823,0.8496288,3.36287,-0.07862131,0.4565955,3.6248105,0.06776242,0.4673987,2.9853034,-0.09122376,0.29760525,3.5426471,0.07286502,0.06588099
3.500996,-0.0239093,0.8476006,3.504863,-0.108571775,0.8524084,3.4971292,0.06075317,0.8427927,3.426843,-0.067805156,0.4401561,3.6399555,0.066879265,0.4462273,3.034837,-0.082268044,0.32134616,3.59136,0.06672337,0.03924853
3.545303,-0.020692397,0.8456472,3.5508275,-0.10539651,0.8449483,3.5397787,0.06401173,0.8463461,3.489743,-0.05806418,0.43054605,3.6816683,0.073163,0.4495029,3.0900593,-0.07787825,0.34192377,3.5999172,0.06810655,0.047900476
3.5857656,-0.018384144,0.8447509,3.5926645,-0.10286595,0.8401651,3.5788665,0.06609762,0.8493366,3.56534,-0.05008368,0.42283025,3.7028213,0.074707165,0.44651902,3.1601386,-0.07111679,0.36484066,3.6017513,0.06916879,0.04934466
3.6262615,-0.016376248,0.8432011,3.6345081,-0.10051577,0.8355641,3.6180146,0.067763284,0.8508382,3.6420262,-0.047672644,0.417411,3.7226422,0.07776982,0.4426056,3.2338064,-0.06240581,0.38375148,3.6008284,0.068249755,0.051371343
3.6657524,-0.01607119,0.8403956,3.6747065,-0.09996393,0.8310343,3.6567981,0.06782151,0.84975696,3.7213485,-0.04448881,0.41576567,3.7372208,0.079386875,0.43611538,3.3119118,-0.056011617,0.40086177,3.601158,0.07117595,0.049575873
3.7040167,-0.014609397,0.83845574,3.7132058,-0.09812898,0.8263792,3.6948278,0.06891016,0.85053235,3.8059762,-0.04427539,0.41870973,3.7473574,0.08032337,0.43242788,3.3961623,-0.04891257,0.41376647,3.6010764,0.07160423,0.049649715
3.7416005,-0.013118699,0.836418,3.7506125,-0.09631382,0.8221647,3.7325883,0.07007639,0.85067123,3.894116,-0.047050517,0.42886993,3.7544448,0.07879429,0.4297826,3.4843054,-0.044206247,0.4225075,3.6011648,0.07194041,0.04971464
3.7798371,-0.01108777,0.83321065,3.7875135,-0.09411619,0.81729984,3.7721608,0.071940616,0.84912145,3.9839015,-0.05549913,0.44629914,3.7594097,0.07769186,0.4278078,3.5746856,-0.043365456,0.426587,3.6008146,0.07175091,0.049911566
3.8195577,-0.008803843,0.8281196,3.8257806,-0.09171864,0.8110256,3.8133345,0.074110925,0.84521365,4.074034,-0.0684231,0.4711306,3.7608232,0.076061845,0.4269557,3.6672208,-0.04553162,0.42671907,3.6004968,0.07162894,0.049769983
3.861336,-0.007132301,0.8209461,3.8669486,-0.08995367,0.8032002,3.8557234,0.07568908,0.838692,4.161146,-0.08401784,0.5013499,3.7606964,0.07539539,0.42799652,3.7603216,-0.04943435,0.42301035,3.6012774,0.07169967,0.0504184
3.9052508,-0.0071764663,0.813642,3.910964,-0.09005288,0.79618776,3.8995378,0.07569995,0.8310964,4.23992,-0.09670203,0.5326641,3.7656987,0.07482056,0.43136245,3.8492303,-0.05685234,0.41533163,3.603074,0.07175641,0.05514813
3.9517298,-0.007779168,0.80949974,3.9579425,-0.09079985,0.79292345,3.9455175,0.07524151,0.82607603,4.3094053,-0.10708149,0.5607391,3.7767708,0.07346378,0.439783,3.9325778,-0.069159746,0.404035,3.606992,0.07116251,0.0667372
4.0001245,-0.008921299,0.8105879,4.006909,-0.09208058,0.7949576,3.9933403,0.07423799,0.82621825,4.369505,-0.114543416,0.5811343,3.8000507,0.07276593,0.4516014,4.009485,-0.084246345,0.38758662,3.6150846,0.071708925,0.08584216
4.0494223,-0.012184668,0.81662637,4.055881,-0.09564216,0.80252224,4.0429635,0.071272805,0.83073056,4.4215074,-0.11583508,0.5936902,3.8344443,0.07271087,0.46437183,4.0809054,-0.102849014,0.3660612,3.6332538,0.07429172,0.10728205
4.1000624,-0.019409172,0.82873726,4.106231,-0.10346197,0.818595,4.093893,0.06464363,0.8388796,4.4634495,-0.1129435,0.5949739,3.8814518,0.07132205,0.47483963,4.144183,-0.11662934,0.33797425,3.661949,0.076876156,0.12874569
4.149578,-0.023748644,0.8409172,4.1541214,-0.10811162,0.832668,4.145035,0.06061431,0.84916645,4.4987154,-0.11324291,0.5899137,3.9371696,0.06842458,0.48251688,4.2040544,-0.12304311,0.305182,3.6977909,0.07462051,0.1498719
4.197784,-0.026623484,0.85044956,4.2006006,-0.11115372,0.8432034,4.1949673,0.05790675,0.85769564,4.5305495,-0.11503212,0.58086836,3.9973853,0.06392911,0.48537064,4.2655487,-0.12524891,0.26835686,3.732582,0.07037078,0.17259099
4.2461987,-0.029439062,0.8570704,4.246728,-0.11407438,0.8505604,4.245669,0.055196293,0.86358047,4.5583086,-0.11258268,0.5666307,4.060497,0.057985466,0.48489273,4.326347,-0.1303848,0.22918412,3.769694,0.065758586,0.19615975
4.2942815,-0.031874757,0.86097187,4.293555,-0.11656595,0.8552561,4.295008,0.05281647,0.8666876,4.5817757,-0.11087126,0.54768944,4.1264577,0.050187822,0.48031372,4.387594,-0.13311823,0.18742278,3.8092752,0.060820963,0.22093844
4.3426166,-0.033443395,0.86098343,4.340797,-0.11815059,0.8557707,4.344436,0.05126383,0.8661962,4.601748,-0.11024362,0.52479815,4.1924114,0.040701464,0.47315952,4.449677,-0.1336019,0.14490077,3.8518784,0.055629496,0.2455467
4.391142,-0.035271343,0.8580287,4.389242,-0.120044865,0.8540737,4.393041,0.04950216,0.8619837,4.6132607,-0.11060611,0.49710348,4.262693,0.030219352,0.46156085,4.512028,-0.12994677,0.10040301,3.9001973,0.0482652,0.27112877
4.441276,-0.037720587,0.84982455,4.439138,-0.122566886,0.8482955,4.4434137,0.047125656,0.8513537,4.619751,-0.11308126,0.46752006,4.331159,0.018948283,0.44600707,4.5764217,-0.12213586,0.060047477,3.9507377,0.04031255,0.2949555
4.491652,-0.04239255,0.8366518,4.4886174,-0.12720537,0.8384892,4.4946866,0.04242029,0.83481437,4.6461024,-0.11485644,0.44766057,4.38807,0.011683669,0.4281337,4.6116376,-0.12000325,0.03927467,3.995251,0.0345044,0.31339195
4.5354633,-0.048777886,0.83790475,4.5307646,-0.13310105,0.8464677,4.5401616,0.035545282,0.8293419,4.681846,-0.11613656,0.45329154,4.456012,0.007019397,0.4172666,4.610596,-0.11934488,0.049674854,4.055773,0.030495305,0.33211356
4.575505,-0.04863408,0.83938307,4.56919,-0.13268667,0.8494376,4.581819,0.0354185,0.8293288,4.700755,-0.11935825,0.44917017,4.533432,0.001415194,0.4119519,4.61107,-0.12006749,0.04923337,4.1287923,0.025763713,0.35139638
