pelvis_ang_vel_x,pelvis_ang_vel_y,pelvis_ang_vel_z,right_thigh_ang_vel_x,right_thigh_ang_vel_y,right_thigh_ang_vel_z,left_thigh_ang_vel_x,left_thigh_ang_vel_y,left_thigh_ang_vel_z,right_shin_ang_vel_x,right_shin_ang_vel_y,right_shin_ang_vel_z,left_shin_ang_vel_x,left_shin_ang_vel_y,left_shin_ang_vel_z,right_foot_ang_vel_x,right_foot_ang_vel_y,right_foot_ang_vel_z,left_foot_ang_vel_x,left_foot_ang_vel_y,left_foot_ang_vel_z
-0.46632022,-1.3525652,-0.06863344,0.24319524,2.640874,1.500554,1.6485759,-8.091916,2.3266025,0.25285733,2.7895017,1.4965665,1.3475815,-1.5702171,2.0067878,0.8238254,0.7764931,0.8244605,0.009377532,-3.4870281,2.169326
0.114352405,-0.23889299,-0.42132935,0.52947384,2.6330674,0.90752393,1.9517629,-8.484844,2.0439935,0.53096634,2.664607,0.90682197,1.5918202,-3.847658,1.9108623,0.7016851,0.62721056,0.052285355,1.6470066,-5.4030075,1.4112325
0.11620462,0.45334634,-0.19853938,0.30902866,2.7197163,0.29786956,2.1099443,-7.6987796,0.8661081,0.3121188,2.797989,0.2964327,1.9011714,-5.456358,0.8464258,-0.24600156,3.584785,0.020193962,2.2772121,-7.9879208,1.0057569
0.29960772,0.47104797,0.7145425,0.17154914,2.9447627,0.26086354,2.0533965,-6.3053036,0.76666063,0.17829429,3.144048,0.25762165,2.0655098,-6.4207573,0.76516795,-0.20672946,5.6624093,0.092942506,2.5283084,-9.452359,1.077457
0.3898464,1.223562,0.90083283,-0.3699996,2.6305857,-0.8266097,1.8198047,-4.377765,0.64591,-0.3177596,3.8205717,-0.853105,2.105798,-6.792151,0.56256527,-0.9095166,9.416582,-1.3386797,3.3761644,-9.354291,0.7781676
0.7453739,1.8027323,1.065045,-0.4166241,2.6724765,-1.1698798,1.6856375,-2.6302648,0.0127228685,-0.44348595,2.2383525,-1.156375,2.2193396,-6.8529415,-0.22373398,0.34414217,12.074385,-1.6694655,4.0674286,-9.389518,-0.36494485
1.6833299,1.6368747,0.97079086,-0.25148368,0.31063265,0.35346317,0.4757129,0.84359616,-1.8892606,-0.07098288,3.3780499,0.23898569,1.1728929,-6.2438297,-2.3781896,1.0953082,15.045039,-0.8794068,1.7675807,-11.293621,-3.1143634
3.7437406,1.0065979,0.08092878,0.64431125,-1.9329665,2.667111,-0.45949283,3.9487834,-3.3771296,0.7315752,4.3263187,2.497578,-0.09933435,-5.659792,-4.012472,1.6507156,19.190956,0.77261734,-1.7143906,-12.621045,-5.0938573
0.6702268,0.012344904,1.7313547,2.646674,-3.886426,3.3011527,-1.2364916,3.9384747,0.4143766,2.3647292,6.3382545,3.3577108,-0.9618342,-6.6992717,-0.22813374,4.040177,17.336231,3.5735233,-1.7405728,-10.654863,-1.240013
0.6834774,-0.44534445,0.61821747,2.1391857,-1.2431058,2.911235,-0.47677097,3.057461,0.70370454,1.6807853,4.454978,3.1862772,-0.15851937,-6.115375,0.24103071,2.4981546,4.7656274,4.850693,-0.42058954,-8.992005,-0.3979344
-0.039708186,-0.9455298,0.7243097,0.7885811,-2.4623969,-0.26668096,-0.033190884,3.9905703,-0.6004386,0.14222991,5.34867,0.1932137,0.20840186,-6.519537,-1.1401249,0.40439495,6.7483425,-0.16453898,0.4821237,-7.6694584,-0.39383224
1.0026888,-0.9087133,0.89841324,1.3695234,-2.3636832,0.5003895,-0.6310463,4.585889,0.32380638,0.67643696,5.4156985,1.0834619,-0.39978626,-7.016535,-0.1953217,0.88183314,8.946899,0.67360455,0.2635192,-10.143722,2.0001292
